,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,,,,,
,,,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC
A SA,A.SA,492,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,4'000.00,4'304.00,4'304.00,0.00,0.00,500.00,538.00,538.00,0.00,0.00,512.25,551.20,551.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'012.25,1'089.20,1'089.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'012.25,5'393.20,5'393.20,0.00,0.00
AFTER-RAIN,After the Rain Geneva SA,490,8'647.80,9'305.00,9'305.00,0.00,0.00,10'833.75,11'657.10,11'657.10,0.00,0.00,10'928.35,11'758.90,11'758.90,0.00,0.00,10'381.60,11'170.65,11'170.65,0.00,0.00,8'796.50,9'465.05,9'465.05,0.00,0.00,12'327.60,13'264.45,13'264.45,0.00,0.00,14'265.60,15'349.85,15'349.85,0.00,0.00,12'632.25,13'592.30,13'592.30,0.00,0.00,88'813.45,95'563.30,95'563.30,0.00,0.00,12'088.05,13'006.65,13'006.65,0.00,0.00,12'447.60,13'393.65,13'393.65,0.00,0.00,11'851.95,12'752.70,12'752.70,0.00,0.00,12'085.80,13'004.40,13'004.40,0.00,0.00,10'430.25,11'222.95,11'222.95,0.00,0.00,8'917.20,9'594.95,9'594.95,0.00,0.00,9'021.40,9'706.95,9'706.95,0.00,0.00,7'442.30,8'007.90,8'007.90,0.00,0.00,7'172.25,7'717.30,7'717.30,0.00,0.00,9'082.75,9'773.10,9'773.10,0.00,0.00,10'414.85,11'206.35,11'206.35,0.00,0.00,10'898.65,11'727.05,11'727.05,0.00,0.00,121'853.05,131'113.95,131'113.95,0.00,0.00,9'342.15,10'052.10,10'052.10,0.00,0.00,9'062.05,9'750.80,9'750.80,0.00,0.00,10'698.20,11'511.30,11'511.30,0.00,0.00,5'250.00,5'649.00,5'649.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'490.85,4'832.20,4'832.20,0.00,0.00,38'843.25,41'795.40,41'795.40,0.00,0.00,8'202.45,8'825.85,8'825.85,0.00,0.00,9'402.50,10'117.05,10'117.05,0.00,0.00,9'577.70,10'305.70,10'305.70,0.00,0.00,9'106.10,9'798.25,9'798.25,0.00,0.00,8'013.20,8'622.20,8'622.20,0.00,0.00,8'844.75,9'516.90,9'516.90,0.00,0.00,8'389.90,9'027.60,9'027.60,0.00,0.00,3'581.95,3'854.25,3'854.25,0.00,0.00,8'452.60,9'094.90,9'094.90,0.00,0.00,9'423.25,10'139.40,10'139.40,0.00,0.00,6'841.55,7'361.50,7'361.50,0.00,0.00,9'736.20,10'476.10,10'476.10,0.00,0.00,99'572.15,107'139.70,107'139.70,0.00,0.00,349'081.90,375'612.35,375'612.35,0.00,0.00
AGORA,Hôtel Agora,440,4'193.65,4'512.30,4'512.30,0.00,0.00,6'631.70,7'135.65,7'135.65,0.00,0.00,4'334.10,4'663.45,4'663.45,0.00,0.00,5'514.75,5'933.75,5'933.75,0.00,0.00,4'844.40,5'212.60,5'212.60,0.00,0.00,4'858.25,5'227.50,5'227.50,0.00,0.00,3'243.40,3'489.95,3'489.95,0.00,0.00,2'449.05,2'635.25,2'635.25,0.00,0.00,36'069.30,38'810.45,38'810.45,0.00,0.00,2'733.80,2'941.70,2'941.70,0.00,0.00,3'237.75,3'483.75,3'483.75,0.00,0.00,2'826.80,3'041.70,3'041.70,0.00,0.00,3'262.55,3'510.50,3'510.50,0.00,0.00,4'492.65,4'834.10,4'834.10,0.00,0.00,5'201.30,5'596.70,5'596.70,0.00,0.00,6'590.35,7'091.20,7'091.20,0.00,0.00,4'520.00,4'863.55,4'863.55,0.00,0.00,5'124.90,5'514.40,5'514.40,0.00,0.00,6'030.45,6'488.80,6'488.80,0.00,0.00,3'993.65,4'297.20,4'297.20,0.00,0.00,2'393.40,2'575.35,2'575.35,0.00,0.00,50'407.60,54'238.95,54'238.95,0.00,0.00,2'646.25,2'847.50,2'847.50,0.00,0.00,2'898.55,3'118.90,3'118.90,0.00,0.00,3'320.10,3'572.50,3'572.50,0.00,0.00,3'590.85,3'863.75,3'863.75,0.00,0.00,6'981.75,7'512.40,7'512.40,0.00,0.00,7'624.35,8'203.70,8'203.70,0.00,0.00,7'319.70,7'876.00,7'876.00,0.00,0.00,6'531.90,7'028.30,7'028.30,0.00,0.00,6'598.15,7'099.60,7'099.60,0.00,0.00,4'291.85,4'618.05,4'618.05,0.00,0.00,3'431.55,3'692.40,3'692.40,0.00,0.00,2'347.05,2'525.35,2'525.35,0.00,0.00,57'582.05,61'958.45,61'958.45,0.00,0.00,1'482.90,1'595.55,1'595.55,0.00,0.00,1'883.70,2'026.95,2'026.95,0.00,0.00,3'229.65,3'475.20,3'475.20,0.00,0.00,3'624.55,3'899.95,3'899.95,0.00,0.00,4'729.15,5'088.60,5'088.60,0.00,0.00,6'027.70,6'485.85,6'485.85,0.00,0.00,5'993.80,6'449.45,6'449.45,0.00,0.00,6'046.00,6'505.50,6'505.50,0.00,0.00,5'675.15,6'106.55,6'106.55,0.00,0.00,4'703.05,5'060.45,5'060.45,0.00,0.00,4'001.20,4'305.15,4'305.15,0.00,0.00,2'586.15,2'782.70,2'782.70,0.00,0.00,49'983.00,53'781.90,53'781.90,0.00,0.00,194'041.95,208'789.75,208'789.75,0.00,0.00
ALPES,Hôtel des Alpes Vaudoises,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.55,219.00,219.00,0.00,0.00,2'928.20,3'150.75,3'150.75,0.00,0.00,1'976.65,2'126.80,2'126.80,0.00,0.00,4'610.35,4'960.70,4'960.70,0.00,0.00,4'940.35,5'315.85,5'315.85,0.00,0.00,5'142.55,5'533.25,5'533.25,0.00,0.00,4'052.85,4'360.85,4'360.85,0.00,0.00,2'855.30,3'072.25,3'072.25,0.00,0.00,2'285.95,2'459.65,2'459.65,0.00,0.00,2'010.00,2'162.70,2'162.70,0.00,0.00,31'005.75,33'361.80,33'361.80,0.00,0.00,583.40,627.75,627.75,0.00,0.00,1'075.20,1'156.90,1'156.90,0.00,0.00,2'671.40,2'874.50,2'874.50,0.00,0.00,1'897.90,2'042.10,2'042.10,0.00,0.00,2'889.50,3'109.15,3'109.15,0.00,0.00,5'042.85,5'426.10,5'426.10,0.00,0.00,5'737.45,6'173.45,6'173.45,0.00,0.00,4'923.85,5'298.10,5'298.10,0.00,0.00,3'573.25,3'844.75,3'844.75,0.00,0.00,3'486.85,3'751.90,3'751.90,0.00,0.00,3'121.80,3'359.05,3'359.05,0.00,0.00,2'298.15,2'472.80,2'472.80,0.00,0.00,37'301.60,40'136.55,40'136.55,0.00,0.00,68'307.35,73'498.35,73'498.35,0.00,0.00
ALPHA PALM,Hôtel Alpha Palmiers,493,1'988.80,2'139.95,2'139.95,0.00,0.00,12'247.60,13'178.45,13'178.45,0.00,0.00,8'852.20,9'525.10,9'525.10,0.00,0.00,13'443.60,14'465.35,14'465.35,0.00,0.00,11'200.75,12'052.10,12'052.10,0.00,0.00,12'767.60,13'737.90,13'737.90,0.00,0.00,10'970.95,11'804.70,11'804.70,0.00,0.00,8'204.60,8'828.15,8'828.15,0.00,0.00,79'676.10,85'731.70,85'731.70,0.00,0.00,7'047.50,7'583.05,7'583.05,0.00,0.00,9'262.75,9'966.80,9'966.80,0.00,0.00,10'900.65,11'729.10,11'729.10,0.00,0.00,10'888.50,11'715.95,11'715.95,0.00,0.00,13'220.35,14'224.95,14'224.95,0.00,0.00,18'937.35,20'376.65,20'376.65,0.00,0.00,21'552.90,23'190.85,23'190.85,0.00,0.00,18'743.40,20'168.00,20'168.00,0.00,0.00,21'624.10,23'267.55,23'267.55,0.00,0.00,22'683.85,24'407.90,24'407.90,0.00,0.00,15'576.40,16'760.25,16'760.25,0.00,0.00,13'700.25,14'741.55,14'741.55,0.00,0.00,184'138.00,198'132.60,198'132.60,0.00,0.00,13'192.35,14'194.85,14'194.85,0.00,0.00,10'700.20,11'513.40,11'513.40,0.00,0.00,14'653.50,15'767.25,15'767.25,0.00,0.00,19'488.50,20'969.70,20'969.70,0.00,0.00,21'230.10,22'843.55,22'843.55,0.00,0.00,25'973.35,27'947.40,27'947.40,0.00,0.00,26'634.40,28'658.70,28'658.70,0.00,0.00,22'378.05,24'078.90,24'078.90,0.00,0.00,25'473.20,27'409.15,27'409.15,0.00,0.00,19'084.30,20'534.75,20'534.75,0.00,0.00,16'758.55,18'032.25,18'032.25,0.00,0.00,14'161.25,15'237.65,15'237.65,0.00,0.00,229'727.75,247'187.55,247'187.55,0.00,0.00,10'182.00,10'955.90,10'955.90,0.00,0.00,9'166.45,9'863.05,9'863.05,0.00,0.00,11'859.10,12'760.40,12'760.40,0.00,0.00,14'901.10,16'033.60,16'033.60,0.00,0.00,15'270.60,16'431.20,16'431.20,0.00,0.00,18'775.75,20'202.65,20'202.65,0.00,0.00,19'728.50,21'227.90,21'227.90,0.00,0.00,18'792.20,20'220.55,20'220.55,0.00,0.00,20'520.95,22'080.60,22'080.60,0.00,0.00,18'716.35,20'138.85,20'138.85,0.00,0.00,16'374.70,17'619.20,17'619.20,0.00,0.00,13'009.15,13'997.85,13'997.85,0.00,0.00,187'296.85,201'531.75,201'531.75,0.00,0.00,680'838.70,732'583.60,732'583.60,0.00,0.00
AMBASA BE,Hôtel Ambassador,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'777.25,6'216.40,6'216.40,0.00,0.00,9'342.00,10'051.90,10'051.90,0.00,0.00,14'369.75,15'461.90,15'461.90,0.00,0.00,10'728.65,11'543.95,11'543.95,0.00,0.00,13'652.20,14'689.80,14'689.80,0.00,0.00,13'735.60,14'779.55,14'779.55,0.00,0.00,13'013.95,14'003.15,14'003.15,0.00,0.00,11'716.25,12'606.65,12'606.65,0.00,0.00,9'655.95,10'389.95,10'389.95,0.00,0.00,101'991.60,109'743.25,109'743.25,0.00,0.00,101'991.60,109'743.25,109'743.25,0.00,0.00
AMBASSADOR,The Ambassador,385,10'422.40,11'214.50,11'214.50,0.00,0.00,10'833.75,11'657.00,11'657.00,0.00,0.00,11'093.75,11'936.90,11'936.90,0.00,0.00,10'790.70,11'610.65,11'610.65,0.00,0.00,9'612.35,10'342.85,10'342.85,0.00,0.00,11'432.25,12'301.10,12'301.10,0.00,0.00,9'432.80,10'149.75,10'149.75,0.00,0.00,7'735.00,8'322.80,8'322.80,0.00,0.00,81'353.00,87'535.55,87'535.55,0.00,0.00,8'803.40,9'472.55,9'472.55,0.00,0.00,9'183.45,9'881.25,9'881.25,0.00,0.00,10'158.95,10'931.05,10'931.05,0.00,0.00,8'984.70,9'667.40,9'667.40,0.00,0.00,10'212.45,10'988.60,10'988.60,0.00,0.00,10'713.30,11'527.55,11'527.55,0.00,0.00,12'139.35,13'062.05,13'062.05,0.00,0.00,9'467.70,10'187.20,10'187.20,0.00,0.00,10'408.30,11'199.30,11'199.30,0.00,0.00,10'827.90,11'650.65,11'650.65,0.00,0.00,9'371.15,10'083.35,10'083.35,0.00,0.00,8'910.75,9'587.95,9'587.95,0.00,0.00,119'181.40,128'238.90,128'238.90,0.00,0.00,7'688.50,8'272.85,8'272.85,0.00,0.00,7'946.30,8'550.20,8'550.20,0.00,0.00,10'545.50,11'347.10,11'347.10,0.00,0.00,8'506.10,9'152.50,9'152.50,0.00,0.00,10'054.30,10'818.45,10'818.45,0.00,0.00,11'952.05,12'860.45,12'860.45,0.00,0.00,10'117.55,10'886.45,10'886.45,0.00,0.00,8'342.65,8'976.70,8'976.70,0.00,0.00,10'208.25,10'984.05,10'984.05,0.00,0.00,9'163.85,9'860.35,9'860.35,0.00,0.00,9'579.80,10'307.95,10'307.95,0.00,0.00,8'429.55,9'070.20,9'070.20,0.00,0.00,112'534.40,121'087.25,121'087.25,0.00,0.00,7'414.25,7'977.80,7'977.80,0.00,0.00,6'384.45,6'869.60,6'869.60,0.00,0.00,8'516.65,9'164.00,9'164.00,0.00,0.00,8'425.55,9'065.80,9'065.80,0.00,0.00,8'879.35,9'554.20,9'554.20,0.00,0.00,9'318.35,10'026.65,10'026.65,0.00,0.00,7'696.90,8'281.90,8'281.90,0.00,0.00,8'480.60,9'125.25,9'125.25,0.00,0.00,8'363.10,8'998.80,8'998.80,0.00,0.00,9'464.70,10'184.00,10'184.00,0.00,0.00,7'961.45,8'566.50,8'566.50,0.00,0.00,8'723.70,9'386.70,9'386.70,0.00,0.00,99'629.05,107'201.20,107'201.20,0.00,0.00,412'697.85,444'062.90,444'062.90,0.00,0.00
BADOUX,Henri Badoux SA,128,,,,,,67.45,72.60,72.60,0.00,0.00,30.60,32.95,32.95,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,98.05,105.55,105.55,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.05,105.55,105.55,0.00,0.00
