,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Total,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Total,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Total,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Total,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Total,,,,,Grand Total,,,,
,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,,,,,
,,,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC
 BONIFACE,Centre St Boniface,6710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'103.20,2'265.10,2'265.10,0.00,0.00,1'507.05,1'623.05,1'623.05,0.00,0.00,938.85,1'011.15,1'011.15,0.00,0.00,1'555.30,1'675.00,1'675.00,0.00,0.00,6'104.40,6'574.30,6'574.30,0.00,0.00,813.60,876.30,876.30,0.00,0.00,967.45,1'041.95,1'041.95,0.00,0.00,1'299.85,1'400.00,1'400.00,0.00,0.00,759.90,818.40,818.40,0.00,0.00,605.65,652.30,652.30,0.00,0.00,1'108.85,1'194.20,1'194.20,0.00,0.00,2'697.20,2'904.80,2'904.80,0.00,0.00,907.00,976.85,976.85,0.00,0.00,1'103.55,1'188.50,1'188.50,0.00,0.00,775.55,835.25,835.25,0.00,0.00,1'604.40,1'727.90,1'727.90,0.00,0.00,1'740.35,1'874.30,1'874.30,0.00,0.00,14'383.35,15'490.75,15'490.75,0.00,0.00,20'487.75,22'065.05,22'065.05,0.00,0.00
247CONCIER,247 Concierge SA,6718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'150.80,2'316.35,2'316.35,0.00,0.00,-596.80,-642.75,-642.75,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'554.00,1'673.60,1'673.60,0.00,0.00,1'554.00,1'673.60,1'673.60,0.00,0.00
A SA,A.SA,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,540.00,540.00,0.00,0.00,500.00,540.00,540.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,540.00,540.00,0.00,0.00
ADMIN COM.,Commune de Bex,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,86.15,86.15,0.00,0.00,103.00,110.95,110.95,0.00,0.00,169.75,182.90,182.90,0.00,0.00,163.30,175.90,175.90,0.00,0.00,32.20,34.70,34.70,0.00,0.00,142.10,153.05,153.05,0.00,0.00,63.00,67.90,67.90,0.00,0.00,65.60,70.70,70.70,0.00,0.00,15.15,16.35,16.35,0.00,0.00,12.60,13.60,13.60,0.00,0.00,846.70,912.20,912.20,0.00,0.00,42.80,46.10,46.10,0.00,0.00,52.85,56.95,56.95,0.00,0.00,10.05,10.85,10.85,0.00,0.00,,,,,,,,,,,85.65,92.25,92.25,0.00,0.00,78.10,84.20,84.20,0.00,0.00,30.25,32.60,32.60,0.00,0.00,40.25,43.40,43.40,0.00,0.00,25.20,27.15,27.15,0.00,0.00,,,,,,,,,,,365.15,393.50,393.50,0.00,0.00,1'211.85,1'305.70,1'305.70,0.00,0.00
ADMIRAL,Admiral Genève Sàrl,87,3'251.40,3'511.45,3'511.45,0.00,0.00,2'333.15,2'519.85,2'519.85,0.00,0.00,4'086.85,4'413.75,4'413.75,0.00,0.00,2'803.25,3'027.50,3'027.50,0.00,0.00,2'818.50,3'043.95,3'043.95,0.00,0.00,3'829.95,4'136.30,4'136.30,0.00,0.00,4'163.00,4'496.05,4'496.05,0.00,0.00,3'636.95,3'927.95,3'927.95,0.00,0.00,3'656.70,3'949.20,3'949.20,0.00,0.00,3'659.60,3'952.35,3'952.35,0.00,0.00,4'338.20,4'685.20,4'685.20,0.00,0.00,2'762.95,2'984.10,2'984.10,0.00,0.00,41'340.50,44'647.65,44'647.65,0.00,0.00,3'104.05,3'352.40,3'352.40,0.00,0.00,2'706.75,2'923.25,2'923.25,0.00,0.00,3'730.85,4'029.35,4'029.35,0.00,0.00,2'834.05,3'060.75,3'060.75,0.00,0.00,3'774.75,4'076.75,4'076.75,0.00,0.00,3'911.65,4'224.55,4'224.55,0.00,0.00,4'093.70,4'421.25,4'421.25,0.00,0.00,3'376.70,3'646.80,3'646.80,0.00,0.00,3'570.80,3'856.45,3'856.45,0.00,0.00,3'973.25,4'291.10,4'291.10,0.00,0.00,4'633.85,5'004.55,5'004.55,0.00,0.00,2'720.00,2'937.55,2'937.55,0.00,0.00,42'430.40,45'824.75,45'824.75,0.00,0.00,2'623.00,2'825.05,2'825.05,0.00,0.00,2'540.50,2'736.10,2'736.10,0.00,0.00,3'607.10,3'884.75,3'884.75,0.00,0.00,2'815.95,3'032.85,3'032.85,0.00,0.00,3'702.20,3'987.35,3'987.35,0.00,0.00,,,,,,7'586.55,8'170.65,8'170.65,0.00,0.00,3'769.40,4'059.70,4'059.70,0.00,0.00,3'513.90,3'784.50,3'784.50,0.00,0.00,3'602.05,3'879.40,3'879.40,0.00,0.00,3'622.90,3'901.95,3'901.95,0.00,0.00,4'535.65,4'884.85,4'884.85,0.00,0.00,41'919.20,45'147.15,45'147.15,0.00,0.00,940.20,1'012.55,1'012.55,0.00,0.00,3'100.90,3'339.70,3'339.70,0.00,0.00,3'853.05,4'149.75,4'149.75,0.00,0.00,2'949.30,3'176.45,3'176.45,0.00,0.00,3'252.30,3'502.80,3'502.80,0.00,0.00,3'293.95,3'547.65,3'547.65,0.00,0.00,3'603.50,3'881.00,3'881.00,0.00,0.00,2'812.00,3'028.45,3'028.45,0.00,0.00,2'968.90,3'197.55,3'197.55,0.00,0.00,3'369.75,3'629.25,3'629.25,0.00,0.00,3'931.65,4'234.45,4'234.45,0.00,0.00,3'581.45,3'857.30,3'857.30,0.00,0.00,37'656.95,40'556.90,40'556.90,0.00,0.00,4'095.55,4'410.90,4'410.90,0.00,0.00,3'758.15,4'047.55,4'047.55,0.00,0.00,2'488.80,2'680.45,2'680.45,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10'342.50,11'138.90,11'138.90,0.00,0.00,173'689.55,187'315.35,187'315.35,0.00,0.00
AFTER-RAIN,After the Rain Geneva SA,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'446.20,1'561.90,1'561.90,0.00,0.00,1'446.20,1'561.90,1'561.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'446.20,1'561.90,1'561.90,0.00,0.00
AGENTINE,Restaurant La Table De l'Argentine,6724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.00,402.80,402.80,0.00,0.00,192.00,206.80,206.80,0.00,0.00,,,,,,566.00,609.60,609.60,0.00,0.00,566.00,609.60,609.60,0.00,0.00
AGORA,Hôtel Agora,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.45,117.15,117.15,0.00,0.00,108.45,117.15,117.15,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.45,117.15,117.15,0.00,0.00
