,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Total,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 Total,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Total,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 Total,,,,,2026,,,,,Grand Total,,,,
,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,,,,,
,,,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC
 BONIFACE,Centre St Boniface,6710,1'273.30,1'371.25,1'371.25,0.00,0.00,1'097.40,1'181.95,1'181.95,0.00,0.00,973.50,1'048.50,1'048.50,0.00,0.00,1'258.05,1'354.95,1'354.95,0.00,0.00,1'445.50,1'556.85,1'556.85,0.00,0.00,1'173.80,1'264.20,1'264.20,0.00,0.00,1'194.00,1'285.90,1'285.90,0.00,0.00,567.95,611.70,611.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,8'983.50,9'675.30,9'675.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8'983.50,9'675.30,9'675.30,0.00,0.00
3P.COCHONS,Boucherie-Traiteur,6774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.00,564.40,564.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,524.00,564.40,564.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.00,355.65,355.65,0.00,0.00,420.00,454.00,454.00,0.00,0.00,,,,,,,,,,,,,,,,749.00,809.65,809.65,0.00,0.00,,,,,,703.50,760.50,760.50,0.00,0.00,,,,,,,,,,,,,,,,29.00,31.40,31.40,0.00,0.00,379.00,409.70,409.70,0.00,0.00,,,,,,,,,,,626.50,677.20,677.20,0.00,0.00,,,,,,,,,,,1'738.00,1'878.80,1'878.80,0.00,0.00,,,,,,3'011.00,3'252.85,3'252.85,0.00,0.00
99APPARTHÔ,Coucou & Co SA,6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'675.40,1'811.15,1'811.15,0.00,0.00,2'977.00,3'218.25,3'218.25,0.00,0.00,2'790.80,3'016.85,3'016.85,0.00,0.00,2'640.50,2'854.45,2'854.45,0.00,0.00,1'350.65,1'460.10,1'460.10,0.00,0.00,1'317.45,1'424.15,1'424.15,0.00,0.00,899.85,972.75,972.75,0.00,0.00,13'651.65,14'757.70,14'757.70,0.00,0.00,976.00,1'055.00,1'055.00,0.00,0.00,373.00,403.25,403.25,0.00,0.00,743.60,803.85,803.85,0.00,0.00,558.40,603.60,603.60,0.00,0.00,570.15,616.35,616.35,0.00,0.00,595.10,643.30,643.30,0.00,0.00,1'786.95,1'931.75,1'931.75,0.00,0.00,858.95,928.55,928.55,0.00,0.00,1'313.60,1'420.05,1'420.05,0.00,0.00,284.20,307.25,307.25,0.00,0.00,922.50,997.25,997.25,0.00,0.00,192.75,208.40,208.40,0.00,0.00,9'175.20,9'918.60,9'918.60,0.00,0.00,1'023.25,1'106.15,1'106.15,0.00,0.00,23'850.10,25'782.45,25'782.45,0.00,0.00
ADMIN COM.,Commune de Bex,224,20.15,21.70,21.70,0.00,0.00,,,,,,106.35,114.60,114.60,0.00,0.00,67.75,73.05,73.05,0.00,0.00,68.70,74.00,74.00,0.00,0.00,80.30,86.55,86.55,0.00,0.00,50.10,54.00,54.00,0.00,0.00,21.65,23.30,23.30,0.00,0.00,53.75,57.95,57.95,0.00,0.00,36.75,39.60,39.60,0.00,0.00,103.90,111.95,111.95,0.00,0.00,128.60,138.50,138.50,0.00,0.00,738.00,795.20,795.20,0.00,0.00,38.00,40.90,40.90,0.00,0.00,10.05,10.85,10.85,0.00,0.00,79.90,86.10,86.10,0.00,0.00,42.20,45.45,45.45,0.00,0.00,10.10,10.90,10.90,0.00,0.00,77.10,83.05,83.05,0.00,0.00,12.60,13.55,13.55,0.00,0.00,42.80,46.10,46.10,0.00,0.00,26.20,28.25,28.25,0.00,0.00,87.15,93.85,93.85,0.00,0.00,104.35,112.40,112.40,0.00,0.00,31.70,34.15,34.15,0.00,0.00,562.15,605.55,605.55,0.00,0.00,63.00,68.05,68.05,0.00,0.00,127.10,137.40,137.40,0.00,0.00,34.20,36.90,36.90,0.00,0.00,,,,,,1'128.50,1'219.85,1'219.85,0.00,0.00,,,,,,51.90,56.05,56.05,0.00,0.00,227.25,245.65,245.65,0.00,0.00,200.05,216.25,216.25,0.00,0.00,7.55,8.15,8.15,0.00,0.00,30.65,33.15,33.15,0.00,0.00,12.60,13.60,13.60,0.00,0.00,1'882.80,2'035.05,2'035.05,0.00,0.00,190.55,205.95,205.95,0.00,0.00,,,,,,64.50,69.70,69.70,0.00,0.00,82.10,88.70,88.70,0.00,0.00,744.25,804.45,804.45,0.00,0.00,,,,,,,,,,,102.25,110.45,110.45,0.00,0.00,37.75,40.80,40.80,0.00,0.00,8.55,9.25,9.25,0.00,0.00,40.30,43.50,43.50,0.00,0.00,70.55,76.20,76.20,0.00,0.00,1'340.80,1'449.00,1'449.00,0.00,0.00,49.75,53.70,53.70,0.00,0.00,4'573.50,4'938.50,4'938.50,0.00,0.00
ADMIRAL,Admiral Genève Sàrl,87,4'141.75,4'460.70,4'460.70,0.00,0.00,3'794.95,4'087.20,4'087.20,0.00,0.00,3'944.00,4'247.75,4'247.75,0.00,0.00,4'715.45,5'078.60,5'078.60,0.00,0.00,5'293.90,5'701.60,5'701.60,0.00,0.00,4'929.65,5'309.25,5'309.25,0.00,0.00,5'755.95,6'199.20,6'199.20,0.00,0.00,4'972.00,5'354.85,5'354.85,0.00,0.00,5'279.10,5'685.65,5'685.65,0.00,0.00,4'449.15,4'791.75,4'791.75,0.00,0.00,5'223.40,5'625.60,5'625.60,0.00,0.00,5'300.90,5'709.10,5'709.10,0.00,0.00,57'800.20,62'251.25,62'251.25,0.00,0.00,4'366.85,4'703.15,4'703.15,0.00,0.00,4'887.00,5'263.35,5'263.35,0.00,0.00,6'278.85,6'762.40,6'762.40,0.00,0.00,4'312.45,4'644.50,4'644.50,0.00,0.00,4'230.60,4'556.40,4'556.40,0.00,0.00,5'860.05,6'311.30,6'311.30,0.00,0.00,4'121.75,4'439.10,4'439.10,0.00,0.00,5'569.80,5'998.70,5'998.70,0.00,0.00,4'347.25,4'682.00,4'682.00,0.00,0.00,4'296.00,4'626.80,4'626.80,0.00,0.00,4'788.10,5'156.80,5'156.80,0.00,0.00,4'391.60,4'729.75,4'729.75,0.00,0.00,57'450.30,61'874.25,61'874.25,0.00,0.00,3'453.40,3'733.20,3'733.20,0.00,0.00,4'205.00,4'545.65,4'545.65,0.00,0.00,4'068.10,4'397.65,4'397.65,0.00,0.00,3'431.25,3'709.20,3'709.20,0.00,0.00,4'948.10,5'348.85,5'348.85,0.00,0.00,5'000.95,5'406.10,5'406.10,0.00,0.00,5'405.85,5'843.70,5'843.70,0.00,0.00,4'058.15,4'386.85,4'386.85,0.00,0.00,4'577.55,4'948.40,4'948.40,0.00,0.00,4'515.50,4'881.30,4'881.30,0.00,0.00,4'007.90,4'332.50,4'332.50,0.00,0.00,4'980.45,5'383.85,5'383.85,0.00,0.00,52'652.20,56'917.25,56'917.25,0.00,0.00,3'396.45,3'671.60,3'671.60,0.00,0.00,3'810.40,4'119.05,4'119.05,0.00,0.00,3'465.45,3'746.15,3'746.15,0.00,0.00,4'275.70,4'622.05,4'622.05,0.00,0.00,4'750.40,5'135.20,5'135.20,0.00,0.00,4'864.55,5'258.60,5'258.60,0.00,0.00,4'398.65,4'754.95,4'754.95,0.00,0.00,4'472.10,4'834.30,4'834.30,0.00,0.00,3'865.00,4'178.10,4'178.10,0.00,0.00,,,,,,,,,,,,,,,,37'298.70,40'320.00,40'320.00,0.00,0.00,,,,,,205'201.40,221'362.75,221'362.75,0.00,0.00
ARTLAUNDRY,The Art of Laundry SA,6799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'259.80,2'442.90,2'442.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,2'259.80,2'442.90,2'442.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'259.80,2'442.90,2'442.90,0.00,0.00
ATHMOS,Tulac Athmos Sàrl - Hôtel Athmos,318,3'105.00,3'344.15,3'344.15,0.00,0.00,5'406.05,5'822.35,5'822.35,0.00,0.00,,,,,,4'897.05,5'274.10,5'274.10,0.00,0.00,4'343.65,4'678.15,4'678.15,0.00,0.00,5'698.10,6'136.95,6'136.95,0.00,0.00,4'172.55,4'493.90,4'493.90,0.00,0.00,3'519.90,3'790.95,3'790.95,0.00,0.00,5'584.45,6'014.45,6'014.45,0.00,0.00,4'153.35,4'473.25,4'473.25,0.00,0.00,4'699.45,5'061.30,5'061.30,0.00,0.00,2'572.00,2'770.05,2'770.05,0.00,0.00,48'151.55,51'859.60,51'859.60,0.00,0.00,2'939.15,3'165.50,3'165.50,0.00,0.00,3'766.00,4'055.95,4'055.95,0.00,0.00,4'080.95,4'395.15,4'395.15,0.00,0.00,3'472.40,3'739.80,3'739.80,0.00,0.00,5'289.45,5'696.75,5'696.75,0.00,0.00,5'336.05,5'746.90,5'746.90,0.00,0.00,5'313.60,5'722.80,5'722.80,0.00,0.00,3'219.25,3'467.10,3'467.10,0.00,0.00,5'056.25,5'445.60,5'445.60,0.00,0.00,5'105.10,5'498.25,5'498.25,0.00,0.00,4'356.65,4'692.10,4'692.10,0.00,0.00,3'617.35,3'895.90,3'895.90,0.00,0.00,51'552.20,55'521.80,55'521.80,0.00,0.00,2'282.80,2'467.80,2'467.80,0.00,0.00,4'006.90,4'331.45,4'331.45,0.00,0.00,3'956.50,4'276.95,4'276.95,0.00,0.00,3'762.50,4'067.25,4'067.25,0.00,0.00,5'122.65,5'537.65,5'537.65,0.00,0.00,5'042.35,5'450.75,5'450.75,0.00,0.00,5'989.15,6'474.30,6'474.30,0.00,0.00,4'269.10,4'614.90,4'614.90,0.00,0.00,5'986.45,6'471.40,6'471.40,0.00,0.00,5'526.00,5'973.60,5'973.60,0.00,0.00,5'393.95,5'830.85,5'830.85,0.00,0.00,3'223.30,3'484.40,3'484.40,0.00,0.00,54'561.65,58'981.30,58'981.30,0.00,0.00,2'305.20,2'491.95,2'491.95,0.00,0.00,3'803.25,4'111.30,4'111.30,0.00,0.00,4'768.50,5'154.80,5'154.80,0.00,0.00,4'044.85,4'372.60,4'372.60,0.00,0.00,5'635.30,6'091.80,6'091.80,0.00,0.00,5'859.30,6'333.85,6'333.85,0.00,0.00,5'040.80,5'449.15,5'449.15,0.00,0.00,4'790.10,5'178.15,5'178.15,0.00,0.00,6'006.50,6'493.00,6'493.00,0.00,0.00,5'827.45,6'299.50,6'299.50,0.00,0.00,4'803.60,5'192.70,5'192.70,0.00,0.00,3'210.90,3'471.00,3'471.00,0.00,0.00,56'095.75,60'639.80,60'639.80,0.00,0.00,3'043.80,3'290.35,3'290.35,0.00,0.00,213'404.95,230'292.85,230'292.85,0.00,0.00
AUB. RIVAZ,Auberge de Rivaz,200,453.60,488.60,488.60,0.00,0.00,216.00,232.65,232.65,0.00,0.00,882.70,950.90,950.90,0.00,0.00,1'700.80,1'831.85,1'831.85,0.00,0.00,1'178.15,1'269.00,1'269.00,0.00,0.00,2'005.20,2'159.60,2'159.60,0.00,0.00,1'888.10,2'033.65,2'033.65,0.00,0.00,1'472.40,1'585.90,1'585.90,0.00,0.00,1'376.15,1'482.25,1'482.25,0.00,0.00,1'682.40,1'812.20,1'812.20,0.00,0.00,543.15,585.05,585.05,0.00,0.00,513.90,553.50,553.50,0.00,0.00,13'912.55,14'985.15,14'985.15,0.00,0.00,660.30,711.15,711.15,0.00,0.00,553.60,596.25,596.25,0.00,0.00,1'103.20,1'188.15,1'188.15,0.00,0.00,1'230.20,1'325.10,1'325.10,0.00,0.00,2'623.90,2'826.25,2'826.25,0.00,0.00,1'905.60,2'052.45,2'052.45,0.00,0.00,2'103.40,2'265.25,2'265.25,0.00,0.00,1'499.90,1'615.50,1'615.50,0.00,0.00,1'802.25,1'941.15,1'941.15,0.00,0.00,1'427.30,1'537.35,1'537.35,0.00,0.00,1'023.50,1'102.15,1'102.15,0.00,0.00,593.95,639.70,639.70,0.00,0.00,16'527.10,17'800.45,17'800.45,0.00,0.00,526.20,568.80,568.80,0.00,0.00,831.80,899.15,899.15,0.00,0.00,1'156.50,1'250.20,1'250.20,0.00,0.00,1'533.60,1'657.80,1'657.80,0.00,0.00,2'204.45,2'383.05,2'383.05,0.00,0.00,1'385.80,1'498.15,1'498.15,0.00,0.00,2'490.00,2'691.85,2'691.85,0.00,0.00,1'594.90,1'724.20,1'724.20,0.00,0.00,808.55,874.00,874.00,0.00,0.00,2'043.50,2'209.30,2'209.30,0.00,0.00,782.30,845.80,845.80,0.00,0.00,280.00,302.75,302.75,0.00,0.00,15'637.60,16'905.05,16'905.05,0.00,0.00,168.00,181.65,181.65,0.00,0.00,600.00,648.60,648.60,0.00,0.00,519.95,562.10,562.10,0.00,0.00,1'218.50,1'317.25,1'317.25,0.00,0.00,2'200.55,2'378.95,2'378.95,0.00,0.00,1'814.55,1'961.55,1'961.55,0.00,0.00,2'093.05,2'262.75,2'262.75,0.00,0.00,706.75,763.95,763.95,0.00,0.00,1'368.70,1'479.70,1'479.70,0.00,0.00,1'511.00,1'633.35,1'633.35,0.00,0.00,556.50,601.55,601.55,0.00,0.00,413.20,446.70,446.70,0.00,0.00,13'170.75,14'238.10,14'238.10,0.00,0.00,108.00,116.75,116.75,0.00,0.00,59'356.00,64'045.50,64'045.50,0.00,0.00
