customer,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,
 BONIFACE,514.60,733.20,1260.50,824.80,1425.10,895.10,707.75,920.55,775.75,1067.00,1540.50,849.15,1273.30,1097.40,973.50,1258.05,1445.50,1173.80,1194.00,567.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P.COCHONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.00,,,,,,,,,,,,329.00,420.00,,,,,703.50,,,,29.00,379.00,,,
99APPARTHÔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.40,2977.00,2790.80,2640.50,1350.65,1317.45,899.85,976.00,373.00,743.60,558.40,570.15,595.10,1786.95,858.95,1313.60,
ADMIN COM.,90.35,108.10,75.30,62.70,95.45,57.65,30.25,45.25,65.15,20.10,35.25,57.65,20.15,,106.35,67.75,68.70,80.30,50.10,21.65,53.75,36.75,103.90,128.60,38.00,10.05,79.90,42.20,10.10,77.10,12.60,42.80,26.20,87.15,104.35,31.70,63.00,127.10,34.20,,1128.50,,51.90,227.25,200.05,7.55,30.65,12.60,190.55,,64.50,82.10,744.25,,,102.25,37.75,
ADMIRAL,,,,,,,,911.65,4528.20,5070.80,5372.95,4239.70,4141.75,3794.95,3944.00,4715.45,5293.90,4929.65,5755.95,4972.00,5279.10,4449.15,5223.40,5300.90,4366.85,4887.00,6278.85,4312.45,4230.60,5860.05,4121.75,5569.80,4347.25,4296.00,4788.10,4391.60,3453.40,4205.00,4068.10,3431.25,4948.10,5000.95,5405.85,4058.15,4577.55,4515.50,4007.90,4980.45,3396.45,3810.40,3465.45,4275.70,4750.40,4864.55,4398.65,4472.10,3865.00,
AMBASSADOR,,1093.65,502.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTLAUNDRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.80,,,,,,,,,,,,,,,
ATHMOS,996.30,1297.05,3297.85,4881.55,4825.50,4289.45,5632.95,9617.90,3637.20,3133.50,3569.00,1553.40,3105.00,5406.05,,4897.05,4343.65,5698.10,4172.55,3519.90,5584.45,4153.35,4699.45,2572.00,2939.15,3766.00,4080.95,3472.40,5289.45,5336.05,5313.60,3219.25,5056.25,5105.10,4356.65,3617.35,2282.80,4006.90,3956.50,3762.50,5122.65,5042.35,5989.15,4269.10,5986.45,5526.00,5393.95,3223.30,2305.20,3803.25,4768.50,4044.85,5635.30,5859.30,5040.80,4790.10,6006.50,
AUB. RIVAZ,,,,1152.80,709.90,1459.95,2274.40,1479.40,2378.25,1008.60,179.55,525.70,453.60,216.00,882.70,1700.80,1178.15,2005.20,1888.10,1472.40,1376.15,1682.40,543.15,513.90,660.30,553.60,1103.20,1230.20,2623.90,1905.60,2103.40,1499.90,1802.25,1427.30,1023.50,593.95,526.20,831.80,1156.50,1533.60,2204.45,1385.80,2490.00,1594.90,808.55,2043.50,782.30,280.00,168.00,600.00,519.95,1218.50,2200.55,1814.55,2093.05,706.75,1368.70,
BALZAC,1624.35,2079.80,2422.60,1797.30,1633.75,1951.80,2683.05,4669.80,3326.70,2416.65,3245.00,3494.60,3586.25,3223.40,3047.40,2779.05,3299.30,2518.30,2415.40,1919.25,2190.75,2352.15,2052.65,2078.20,2691.75,1142.55,1847.25,2892.15,1404.90,1806.60,2261.60,2305.10,1622.70,3430.45,1339.20,2295.80,1572.15,1300.15,1650.75,1991.35,2359.45,1375.30,1935.00,2001.20,1741.85,1968.50,933.40,,,,,,,,2143.80,991.80,1991.05,
